,000,10,100,11,12,13,14,15,16,17,18,19,20,2010,2011,2015,2016,2017,2018,2019,2020,2021,2025,21,22,23,24,25,26,27,28,29,30,31,32,35,40,50,59,60,61,62,63,64,65,66,67,68,69,70,aan,aanpak,aantal,advies,af,al,alle,alleen,als,and,andere,antwoord,artikel,basis,bedrijven,belang,betreft,bij,bijlage,bijvoorbeeld,binnen,brief,daarbij,daarnaast,dan,data,datum,deel,den,deze,die,dit,doen,door,dus,eerste,eigen,er,eu,euro,europese,extra,figuur,financiële,for,gaan,gaat,gebruik,geeft,geen,gegevens,geldt,gemaakt,gemeenten,geval,geven,goed,grond,grote,haag,hebben,heeft,hier,hierbij,hoe,https,huidige,hun,ii,ik,indien,informatie,ja,jaar,jaren,kabinet,kader,kamer,kan,kenmerk,km,knooppunt,komen,komt,kosten,kunnen,leden,lid,maar,maatregelen,maken,mbo,meer,mensen,met,miljoen,minder,minister,ministerie,moet,moeten,mogelijk,na,naar,nederland,nederlandse,nemen,niet,nieuwe,nl,nodig,nog,nr,nu,of,om,omdat,on,onder,onderdeel,onderwijs,onderzoek,ontwikkeling,onze,ook,op,opgenomen,over,overige,pagina,partijen,per,periode,personen,problemen,programma,raad,rapport,regeling,regio,respondenten,resultaten,risico,rws,samen,samenwerking,scholen,sector,sprake,staat,tabel,te,ten,the,to,toe,tot,totaal,tussen,twee,tweede,uit,uw,vanuit,veel,verder,verschillende,via,voor,vraag,vragen,waar,waarbij,waarin,was,wat,we,wel,welke,werd,werken,wet,worden,wordt,www,zaken,zal,ze,zich,zie,zien,zij,zijn,zo,zoals,zorg,zou,zowel,zullen,één
1,49,41,33,35,33,25,20,25,30,18,45,16,32,25,11,12,82,162,18,0,0,0,0,11,19,15,22,36,19,24,26,32,19,20,12,15,18,17,7,10,5,6,4,5,11,3,3,5,4,12,40,0,53,0,9,9,7,7,33,1,6,0,0,20,21,1,1,44,1,1,0,0,4,9,48,0,0,5,12,27,29,14,0,72,6,2,1,21,1,0,2,1,8,3,2,1,1,3,1,9,21,2,6,0,3,2,1,2,2,12,2,3,3,4,0,0,0,2,0,0,0,12,0,104,9,0,1,0,7,0,0,0,5,6,0,5,1,0,15,5,1,0,12,0,111,28,7,0,2,2,0,5,5,21,25,4,0,33,7,6,5,9,0,0,20,9,6,0,15,1,0,0,6,0,26,69,8,35,12,0,0,90,6,0,0,0,0,2,14,9,0,15,0,0,4,1,0,0,6,0,27,33,11,2,1,11,50,11,18,3,1,32,0,0,1,1,5,4,145,0,0,8,2,6,13,2,1,6,0,6,0,0,29,50,5,0,2,2,0,5,5,0,62,4,15,0,0,6,0,6
3,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,3,0,0,5,0,4,0,0,1,3,0,0,0,1,0,0,3,0,1,1,4,3,1,5,0,2,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,2,0,0,1,4,0,1,0,2,2,0,3,2,0,4,0,0,4,0,0,0,0,3,4,5,0,0,0,0,0,1,2,1,0,7,0,0,1,0,6,0,2,1,2,1,2,0,0,1,0,0,2,5,0,1,1,2,0,2,1,7,1,0,2,0,0,0,0,0,4,14,0,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,7,0,0,0,1,1,0,0,0,1,1,3,0,0,3,0,0,5,1,5,0,1,0,1,0,0,1,4,0,0,1,7,0,1,0,0,0,0,1,0,0,4,9,0,0,0,0,1,0
4,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,1,0,0,1,0,2,2,2,0,0,0,3,0,0,0,0,2,1,3,5,2,5,2,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,3,2,1,0,1,1,0,0,0,0,5,0,0,0,2,1,0,0,1,2,3,0,0,0,1,0,5,0,0,0,0,2,0,0,0,8,0,0,2,0,0,0,0,0,3,0,0,0,2,0,1,0,0,1,0,4,8,0,0,1,0,0,3,2,0,1,6,0,5,0,2,0,0,1,0,0,0,1,3,0,0,0,1,0,0,3,2,0,0,0,0,0,9,0,0,0,0,2,0,0,1,1,1,2,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,4,7,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,13,0,2,1,0,10,0,5,0,0,1,0,0,0,10,0,1,8,0,2,6,6,0,0,1,0,11,11,9,0,0,0,2,4,28,0,0,0,1,0,0,0,1,1,0,0,6,0,1,2,1,0,1,5,0,0,0,10,8,4,2,1,0,0,3,0,0,2,15,0,0,1,0,1,1,4,0,0,0,1,0,0,5,0,0,5,2,3,0,9,0,15,0,0,1,1,1,2,1,1,4,0,1,2,13,0,0,1,4,0,0,5,21,1,0,2,1,1,1,1,1,7,16,0,13,0,0,3,3,0,0,1,0,0,0,0,0,0,0,12,0,1,7,0,7,4,2,0,30,1,0,0,1,3,0,6,0,1,6,0,7,3,2,8,2,23,3,2,1,0,4,20,6,3,6,2,7,0,0,7,3,0,1,0,1,1,0,1,1,13,1,0,0,1,2,0,0
8,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,1,2,0,2,0,1,1,0,0,0,0,1,2,1,1,2,4,0,0,3,0,2,1,3,5,1,4,3,1,0,0,0,4,0,1,0,2,0,0,0,2,1,0,0,4,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0,5,1,1,0,12,0,0,0,8,0,0,0,3,0,3,0,0,1,0,0,1,1,0,0,0,3,0,3,1,12,0,0,1,0,4,0,0,1,5,0,0,0,0,0,6,1,3,0,1,0,9,0,0,2,0,0,1,1,0,6,10,0,3,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,1,3,1,2,0,0,1,4,1,0,2,1,0,0,1,2,0,0,1,5,0,2,0,6,0,0,2,0,0,0,1,4,1,1,11,0,0,1,0
10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,3,4,2,2,3,1,1,2,1,0,0,0,0,0,0,0,16,1,6,3,6,0,0,0,7,0,2,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,22,0,3,0,0,2,2,1,7,0,8,0,2,3,0,1,1,11,0,2,3,0,0,1,18,1,2,2,1,8,31,18,0,17,3,0,0,22,7,6,0,0,0,0,0,1,1,1,1,5,2,9,4,0,7,2,0,3,2,1,7,22,0,6,6,1,0,1,2,0,5,3,1,6,1,0,6,0,6,0,0,0,6,3,2,3,5,0,2,4,1,0,5,2,28,0,1,1,11,5,5,6,1,9,0,0,1,35,2,1,2,1,4,0,37,10,0,0,3,0,0,0,0,1,5,50,4,10,2,0,0,9,0,1,0,0,0,0,0,4,0,5,18,0,0,1,0,0,3,7,0,27,19,0,1,1,11,3,7,10,0,18,0,1,1,1,4,1,49,2,2,8,2,3,1,6,2,5,4,0,0,0,34,32,1,10,6,0,6,0,0,2,42,1,7,1,2,0,2,0
12,0,40,0,16,5,6,2,1,3,7,4,5,4,1,0,0,0,0,0,55,0,0,0,7,3,3,10,2,1,15,2,3,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,3,2,0,7,0,7,0,9,1,0,13,3,11,37,0,3,12,1,1,8,0,6,0,3,20,13,17,3,7,3,4,0,4,0,0,0,0,0,1,0,0,3,0,0,3,1,0,8,0,1,3,0,7,0,3,1,10,1,1,0,26,0,6,0,26,6,21,0,0,0,0,1,3,10,7,0,0,0,1,0,4,1,9,0,0,4,0,1,0,23,0,0,2,3,3,2,0,5,8,1,0,2,24,0,25,0,0,2,0,12,15,1,0,10,0,0,0,0,0,6,33,2,13,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,1,0,0,3,8,0,2,3,6,1,12,0,0,0,0,0,26,0,1,3,0,3,0,1,0,5,1,0,0,7,14,9,19,6,0,1,2,30,0,6,16,1,1,0,2,0,0,0
13,314,141,107,199,218,192,90,156,130,142,485,770,113,8,21,52,141,567,1609,1492,842,185,9,129,117,85,64,79,84,107,82,94,59,78,37,378,30,61,15,28,14,47,11,24,15,13,33,23,21,23,794,99,84,40,30,24,61,25,238,6,160,8,158,87,35,31,123,462,29,26,122,467,72,76,61,24,2,57,45,299,353,313,68,323,0,210,88,180,13,12,21,25,5,51,6,81,60,68,37,58,44,14,43,218,14,60,55,23,29,21,63,105,38,44,106,816,22,83,1049,7,18,60,15,193,44,62,84,1698,152,0,0,1,74,29,186,171,144,252,35,86,109,3,128,56,909,15,27,626,150,32,35,110,84,497,66,35,63,242,149,883,65,84,1431,19,207,648,20,2,162,42,6,237,74,27,221,1379,48,681,63,1,81,466,17,23,16,156,26,34,44,58,0,46,14,13,80,59,2,25,12,130,107,1643,109,2,10,489,209,122,70,31,1242,187,1,51,22,54,44,92,1751,77,85,84,50,37,5,41,168,23,77,1,72,245,506,753,106,197,182,16,52,10,17,49,357,78,86,26,17,33,30,22
15,0,3,0,3,3,3,16,1,2,1,3,5,16,0,0,0,0,0,3,15,7,5,0,6,2,1,2,1,0,0,0,1,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,53,8,13,2,0,12,1,3,23,1,11,0,0,6,5,7,3,47,0,8,11,5,9,7,10,1,1,2,3,22,39,24,6,38,0,0,0,20,5,0,14,1,0,0,0,8,6,2,3,5,0,4,4,0,1,4,6,2,3,1,9,9,0,2,6,0,0,7,18,9,0,6,0,0,3,7,2,5,19,0,0,0,6,2,0,21,5,1,13,2,8,1,25,4,83,0,5,3,3,1,3,6,3,13,47,30,2,7,3,2,1,2,0,1,19,57,1,0,5,2,57,23,4,31,66,85,0,25,0,0,0,10,5,0,5,5,0,1,0,5,0,1,2,0,22,59,0,2,3,1,0,66,1,1,1,1,24,0,15,2,1,20,4,20,7,4,9,14,95,1,2,14,8,5,2,4,61,0,3,0,10,0,24,29,1,5,8,5,8,0,8,5,42,8,12,2,1,4,3,1
